STATE,ASTHMA,ATTENTION DEFICIT DISORDER,AUTISM,DOWN SYNDROME,MENTAL RETARDATION,EMOTIONAL PROBLEMS,DIABETES,CHILD USES INSULIN,HEART PROBLEM,BLOOD PROBLEMS,CYSTIC FIBROSIS,CEREBRAL PALSY,MUSCULAR DYSTROPHY,SEIZURE DISORDER,MIGRAINE OR FREQUENT HEADACHES,JOINT PROBLEMS,ALLERGIES,FOOD ALLERGIES,Year
Kansas,282,219,57,14,49,80,16,12,23,6,1,11,1,13,73,28,397,123,2010
Kentucky,271,259,48,10,44,95,9,8,36,9,1,14,3,50,83,35,486,127,2010
Louisiana,209,322,64,7,41,113,8,6,34,12,1,23,5,27,89,32,391,176,2010
Massachusetts,300,238,80,8,58,79,18,16,16,12,1,14,1,37,60,27,347,133,2010
Maryland,290,254,55,4,36,94,12,11,22,19,1,11,2,22,64,13,417,139,2010
Maine,278,247,84,5,41,106,16,12,33,6,2,9,4,23,72,23,341,112,2010
Michigan,254,265,71,9,41,97,9,9,25,17,2,14,6,24,74,19,390,127,2010
Minnesota,258,253,82,7,28,73,24,17,26,7,1,14,1,16,66,12,337,77,2010
Missouri,291,250,74,6,61,92,11,11,18,10,2,16,2,28,77,18,419,133,2010
Mississippi,265,238,46,5,33,120,20,13,24,26,4,15,5,23,94,32,377,182,2010
Montana,252,238,57,9,41,96,18,17,19,11,3,12,3,16,90,25,331,125,2010
North Carolina,272,318,87,3,36,104,13,8,18,10,1,21,6,31,83,30,442,160,2010
North Dakota,245,280,70,7,40,86,25,21,20,9,2,17,2,30,73,20,314,94,2010
Nebraska,233,211,56,7,31,93,17,14,17,7,4,9,2,21,64,18,414,120,2010
New Hampshire,267,245,76,3,22,93,13,7,26,9,3,8,3,22,69,29,356,96,2010
New Jersey,310,244,120,12,39,83,9,7,34,17,3,22,3,27,50,19,383,187,2010
New Mexico,301,204,54,16,44,94,17,13,23,12,3,20,6,29,75,28,416,117,2010
Nevada,292,178,85,10,61,98,17,8,35,12,1,21,3,35,64,19,372,151,2010
New York ,308,215,105,17,50,110,22,19,28,20,3,14,1,25,44,16,388,159,2010
Ohio,265,286,67,13,38,108,25,16,37,11,4,13,2,18,69,26,365,146,2010
Oklahoma,319,230,55,3,42,87,19,9,24,16,1,8,1,23,81,22,472,124,2010
Oregon,241,211,99,10,49,84,26,17,20,12,2,11,0,18,61,19,307,132,2010
Pennsylvania,305,253,76,15,57,104,10,10,29,7,5,14,1,24,83,17,368,118,2010
Rhode Island,267,252,68,6,53,100,17,17,27,11,3,9,1,31,75,31,362,144,2010
South Carolina,223,306,44,9,40,91,20,19,22,16,2,15,1,17,85,28,406,125,2010
South Dakota,214,215,52,11,42,76,17,15,25,5,0,14,2,27,71,28,338,113,2010
Tennessee,249,277,54,11,59,104,19,13,29,10,1,23,1,26,106,32,437,123,2010
Texas,317,284,79,7,71,105,20,9,24,17,4,15,9,32,79,24,491,175,2010
Utah,247,202,83,12,67,69,31,22,24,6,11,16,4,20,55,24,300,105,2010
Virginia,268,274,99,11,36,76,12,10,32,10,1,21,1,26,72,23,428,143,2010
Vermont,289,218,74,6,31,76,12,11,25,4,1,8,1,33,60,23,339,105,2010
Washington,196,249,73,3,35,89,16,14,30,8,2,11,2,28,75,33,322,113,2010
Wisconsin,255,237,77,3,33,81,15,14,24,4,3,17,3,30,71,18,333,71,2010
West Virginia,254,264,84,3,45,112,18,10,25,10,1,11,5,30,76,41,434,125,2010
Wyoming,251,207,39,11,45,91,24,23,24,9,2,12,0,25,81,30,399,156,2010
