,STATE,NAME,comorb,Proportion,Percent,Year
124,25,Missouri,5,0.216216216,21.62162162,2006
125,26,Mississippi,1,0.058461538,5.846153846,2006
126,26,Mississippi,2,0.077981651,7.798165138,2006
127,26,Mississippi,3,0.101010101,10.1010101,2006
128,26,Mississippi,4,0.107692308,10.76923077,2006
129,26,Mississippi,5,0.163636364,16.36363636,2006
130,27,Montana,1,0.07788162,7.788161994,2006
131,27,Montana,2,0.080769231,8.076923077,2006
132,27,Montana,3,0.114035088,11.40350877,2006
133,27,Montana,4,0.127272727,12.72727273,2006
134,27,Montana,5,0.340909091,34.09090909,2006
135,28,North Carolina,1,0.063253012,6.325301205,2006
136,28,North Carolina,2,0.044176707,4.417670683,2006
137,28,North Carolina,3,0.141414141,14.14141414,2006
138,28,North Carolina,4,0.058823529,5.882352941,2006
139,28,North Carolina,5,0.230769231,23.07692308,2006
140,29,North Dakota,1,0.052219321,5.221932115,2006
141,29,North Dakota,2,0.037383178,3.738317757,2006
142,29,North Dakota,3,0.090909091,9.090909091,2006
143,29,North Dakota,4,0.155555556,15.55555556,2006
144,29,North Dakota,5,0.130434783,13.04347826,2006
145,30,Nebraska,1,0.020710059,2.071005917,2006
146,30,Nebraska,2,0.068548387,6.85483871,2006
147,30,Nebraska,3,0.104347826,10.43478261,2006
148,30,Nebraska,4,0.095238095,9.523809524,2006
149,30,Nebraska,5,0.24137931,24.13793103,2006
150,31,New Hampshire,1,0.063360882,6.336088154,2006
151,31,New Hampshire,2,0.057692308,5.769230769,2006
152,31,New Hampshire,3,0.076271186,7.627118644,2006
153,31,New Hampshire,4,0.130434783,13.04347826,2006
154,31,New Hampshire,5,0.081081081,8.108108108,2006
155,32,New Jersey,1,0.079617834,7.961783439,2006
156,32,New Jersey,2,0.086614173,8.661417323,2006
157,32,New Jersey,3,0.090277778,9.027777778,2006
158,32,New Jersey,4,0.145454545,14.54545455,2006
159,32,New Jersey,5,0.261904762,26.19047619,2006
160,33,New Mexico,1,0.060897436,6.08974359,2006
161,33,New Mexico,2,0.068965517,6.896551724,2006
162,33,New Mexico,3,0.134146341,13.41463415,2006
163,33,New Mexico,4,0.175438596,17.54385965,2006
164,33,New Mexico,5,0.3125,31.25,2006
165,34,Nevada,1,0.106312292,10.63122924,2006
166,34,Nevada,2,0.119148936,11.91489362,2006
167,34,Nevada,3,0.165289256,16.52892562,2006
168,34,Nevada,4,0.26,26,2006
169,34,Nevada,5,0.363636364,36.36363636,2006
170,35,New York ,1,0.042105263,4.210526316,2006
171,35,New York ,2,0.096069869,9.6069869,2006
172,35,New York ,3,0.085106383,8.510638298,2006
173,35,New York ,4,0.151515152,15.15151515,2006
174,35,New York ,5,0.2,20,2006
175,36,Ohio,1,0.043352601,4.335260116,2006
176,36,Ohio,2,0.054852321,5.485232068,2006
177,36,Ohio,3,0.065359477,6.535947712,2006
178,36,Ohio,4,0.113207547,11.32075472,2006
179,36,Ohio,5,0.1875,18.75,2006
180,37,Oklahoma,1,0.071698113,7.169811321,2006
181,37,Oklahoma,2,0.083969466,8.396946565,2006
182,37,Oklahoma,3,0.145695364,14.56953642,2006
183,37,Oklahoma,4,0.179104478,17.91044776,2006
184,37,Oklahoma,5,0.228070175,22.80701754,2006
185,38,Oregon,1,0.078078078,7.807807808,2006
186,38,Oregon,2,0.078341014,7.834101382,2006
187,38,Oregon,3,0.158333333,15.83333333,2006
188,38,Oregon,4,0.25,25,2006
189,38,Oregon,5,0.333333333,33.33333333,2006
190,39,Pennsylvania,1,0.036912752,3.691275168,2006
191,39,Pennsylvania,2,0.078498294,7.849829352,2006
192,39,Pennsylvania,3,0.12345679,12.34567901,2006
193,39,Pennsylvania,4,0.083333333,8.333333333,2006
194,39,Pennsylvania,5,0.22,22,2006
195,40,Rhode Island,1,0.046153846,4.615384615,2006
196,40,Rhode Island,2,0.059440559,5.944055944,2006
197,40,Rhode Island,3,0.076923077,7.692307692,2006
198,40,Rhode Island,4,0.140625,14.0625,2006
199,40,Rhode Island,5,0.21875,21.875,2006
200,41,South Carolina,1,0.041055718,4.105571848,2006
201,41,South Carolina,2,0.063291139,6.329113924,2006
202,41,South Carolina,3,0.054054054,5.405405405,2006
203,41,South Carolina,4,0.158730159,15.87301587,2006
204,41,South Carolina,5,0.166666667,16.66666667,2006
205,42,South Dakota,1,0.047486034,4.748603352,2006
206,42,South Dakota,2,0.056910569,5.691056911,2006
207,42,South Dakota,3,0.113043478,11.30434783,2006
208,42,South Dakota,4,0.088888889,8.888888889,2006
209,42,South Dakota,5,0.192307692,19.23076923,2006
210,43,Tennessee,1,0.042813456,4.281345566,2006
211,43,Tennessee,2,0.063291139,6.329113924,2006
212,43,Tennessee,3,0.100775194,10.07751938,2006
213,43,Tennessee,4,0.130434783,13.04347826,2006
214,43,Tennessee,5,0.2,20,2006
215,44,Texas,1,0.047337278,4.733727811,2006
216,44,Texas,2,0.036,3.6,2006
217,44,Texas,3,0.165413534,16.54135338,2006
218,44,Texas,4,0.202898551,20.28985507,2006
219,44,Texas,5,0.363636364,36.36363636,2006
220,45,Utah,1,0.06557377,6.557377049,2006
221,45,Utah,2,0.099137931,9.913793103,2006
222,45,Utah,3,0.097560976,9.756097561,2006
223,45,Utah,4,0.235294118,23.52941176,2006
224,45,Utah,5,0.266666667,26.66666667,2006
225,46,Virginia,1,0.062305296,6.230529595,2006
226,46,Virginia,2,0.061728395,6.172839506,2006
227,46,Virginia,3,0.089285714,8.928571429,2006
228,46,Virginia,4,0.125,12.5,2006
229,46,Virginia,5,0.215686275,21.56862745,2006
230,47,Vermont,1,0.032352941,3.235294118,2006
231,47,Vermont,2,0.061611374,6.161137441,2006
232,47,Vermont,3,0.080645161,8.064516129,2006
233,47,Vermont,4,0.195652174,19.56521739,2006
234,47,Vermont,5,0.18,18,2006
235,48,Washington,1,0.079320113,7.932011331,2006
236,48,Washington,2,0.072033898,7.203389831,2006
237,48,Washington,3,0.136054422,13.60544218,2006
238,48,Washington,4,0.192307692,19.23076923,2006
239,48,Washington,5,0.157894737,15.78947368,2006
240,49,Wisconsin,1,0.034031414,3.403141361,2006
241,49,Wisconsin,2,0.07063197,7.063197026,2006
242,49,Wisconsin,3,0.111111111,11.11111111,2006
243,49,Wisconsin,4,0.108695652,10.86956522,2006
244,49,Wisconsin,5,0.25,25,2006
245,50,West Virginia,1,0.03649635,3.649635037,2006
246,50,West Virginia,2,0.060483871,6.048387097,2006
247,50,West Virginia,3,0.095238095,9.523809524,2006
248,50,West Virginia,4,0.183098592,18.30985915,2006
249,50,West Virginia,5,0.227272727,22.72727273,2006
250,51,Wyoming,1,0.037800687,3.780068729,2006
251,51,Wyoming,2,0.043668122,4.366812227,2006
252,51,Wyoming,3,0.128378378,12.83783784,2006
253,51,Wyoming,4,0.161764706,16.17647059,2006
254,51,Wyoming,5,0.191489362,19.14893617,2006
